iter	CrossEntropy
0	0.6597499922
1	0.6237745362
2	0.5884590947
3	0.5565393831
4	0.5287641413
5	0.5026580038
6	0.4783272378
7	0.4568659217
8	0.4368033162
9	0.4174107992
10	0.4042907632
11	0.3882887708
12	0.3730023602
13	0.361217798
14	0.3493678005
15	0.3391924424
16	0.3285835794
17	0.3202961557
18	0.3115867043
19	0.3062711672
20	0.299423139
21	0.291892379
22	0.2850781188
23	0.2805399194
24	0.275585891
25	0.270748863
26	0.2657913439
27	0.2612229922
28	0.2578927005
29	0.2549843715
30	0.2519237845
31	0.2500047535
32	0.2475976876
33	0.2447811316
34	0.2430623689
35	0.2408752975
36	0.238839512
37	0.2365008239
38	0.2346458378
39	0.2327453599
40	0.2319216548
41	0.2302757684
42	0.2292041928
43	0.2280623796
44	0.2267254508
45	0.2256545153
46	0.2243091004
47	0.2234919004
48	0.2229502463
49	0.2218010724
50	0.2206925593
51	0.2196219407
52	0.2186151697
53	0.2178737003
54	0.2170923511
55	0.2161724803
56	0.2155384698
57	0.2149943689
58	0.2142431524
59	0.2136552345
60	0.2132393261
61	0.2125701105
62	0.2122860691
63	0.2116685239
64	0.2112506919
65	0.2107187548
66	0.2101371304
67	0.2096977221
68	0.2093626816
69	0.2090460579
70	0.2086866875
71	0.2083882766
72	0.2082284151
73	0.2079112876
74	0.2075113161
75	0.2071157166
76	0.2068721189
77	0.206662064
78	0.2064392577
79	0.2062156899
80	0.2059419656
81	0.2057746696
82	0.2055564738
83	0.2052339736
84	0.2052093538
85	0.2050211498
86	0.2047504347
87	0.2045555585
88	0.2043208939
89	0.204146602
90	0.2039919091
91	0.2036769672
92	0.2034647428
93	0.2032472643
94	0.2031160512
95	0.2030236681
96	0.2028439959
97	0.2026535021
98	0.2025366545
99	0.2023851094
100	0.2022456461
101	0.2021190831
102	0.2019380216
103	0.2017496249
104	0.2017449775
105	0.2017180608
106	0.201577392
107	0.2014246355
108	0.2013461937
109	0.2012537929
110	0.2011191717
111	0.2010179422
112	0.2009103016
113	0.2007913309
114	0.2007021717
115	0.2005692523
116	0.2004279524
117	0.2003864888
118	0.200332255
119	0.200189576
120	0.20010031
121	0.2000330321
122	0.199875359
123	0.1998074442
124	0.1997295099
125	0.1996569157
126	0.1996164943
127	0.1995501602
128	0.1994382458
129	0.1993854663
130	0.199307473
131	0.1992456135
132	0.1991534008
133	0.1990337622
134	0.1989739046
135	0.198895757
136	0.1988271546
137	0.1988011235
138	0.198746661
