iter	Passed	Remaining
0	204	203968
1	246	123231
2	333	110903
3	379	94434
4	664	132225
5	951	157703
6	1249	177199
7	1310	162500
8	1360	149823
9	1637	162127
10	1701	152952
11	1875	154408
12	2222	168774
13	2402	169229
14	2698	177198
15	2777	170828
16	3116	180181
17	3183	173699
18	3414	176320
19	3473	170191
20	3779	176187
21	4062	180586
22	4198	178336
23	4268	173566
24	4501	175548
25	4715	176645
26	4971	179166
27	5217	181105
28	5344	178956
29	5426	175443
30	5491	171662
31	5554	168026
32	5770	169095
33	5839	165907
34	6141	169339
35	6367	170514
36	6664	173455
37	6942	175766
38	7013	172810
39	7266	174384
40	7313	171061
41	7609	173565
42	7668	170675
43	7719	167734
44	7776	165034
45	8070	167377
46	8331	168935
47	8389	166398
48	8429	163608
49	8642	164198
50	8866	164978
51	9196	167651
52	9507	169870
53	9590	168015
54	9822	168767
55	10088	170060
56	10354	171309
57	10403	168974
58	10700	170662
59	10990	172178
60	11135	171407
61	11411	172647
62	11464	170504
63	11741	171723
64	11801	169764
65	12048	170503
66	12324	171626
67	12628	173081
68	12889	173918
69	13126	174401
70	13353	174725
71	13630	175682
72	13684	173768
73	13989	175064
74	14230	175510
75	14496	176245
76	14549	174401
77	14759	174459
78	14824	172832
79	15128	173979
80	15475	175576
81	15528	173848
82	15855	175180
83	16164	176273
84	16200	174393
85	16416	174472
86	16738	175655
87	17034	176544
88	17320	177289
89	17632	178282
90	17944	179250
91	18165	179287
92	18463	180066
93	18554	178834
94	18640	177576
95	18707	176166
96	19015	177021
97	19298	177623
98	19578	178180
99	19831	178480
100	20155	179400
101	20398	179591
102	20727	180508
103	20996	180889
104	21035	179302
105	21072	177726
106	21354	178223
107	21562	178089
108	21618	176718
109	21816	176517
110	22006	176248
111	22114	175338
112	22308	175112
113	22576	175460
114	22697	174673
115	22783	173623
116	23057	174016
117	23133	172912
118	23267	172254
119	23589	172988
120	23806	172941
121	23864	171749
122	24204	172577
123	24504	173110
124	24740	173181
125	25024	173580
126	25078	172390
127	25201	171685
128	25507	172225
129	25589	171253
130	25666	170258
131	25867	170097
132	26213	170883
133	26516	171367
134	26750	171400
135	27075	172009
136	27402	172616
137	27463	171546
138	27706	171620
139	27812	170850
140	28118	171302
141	28229	170567
142	28294	169570
143	28351	168535
144	28687	169159
145	28743	168127
146	28799	167115
147	28870	166200
148	29157	166530
149	29380	166487
150	29428	165460
151	29500	164584
152	29637	164073
153	29886	164182
